"order_id","customer","customer_id","employee","employee_id","product_name","product_id","quantity","unit_price","order_date","required_date","shipped_date","ship_via","freight","ship_name","ship_address","ship_city","ship_region","ship_postal_code","ship_country","product_id-2","quantity-2","unit_price-2","discount"
"10285","QUICK-Stop","QUICK","Nancy Davolio","1","Chai","1","45","14.4","0.2","1996-09-17","1996-08-26","2","76.83","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany","1","45","14.4","0.2"
"10285","QUICK-Stop","QUICK","Nancy Davolio","1","Boston Crab Meat","40","40","14.7","0.2","1996-09-17","1996-08-26","2","76.83","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany","40","40","14.7","0.2"
"10285","QUICK-Stop","QUICK","Nancy Davolio","1","Perth Pasties","53","36","26.2","0.2","1996-09-17","1996-08-26","2","76.83","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany","53","36","26.2","0.2"
"10286","QUICK-Stop","QUICK","Laura Callahan","8","Steeleye Stout","35","100","14.4","0","1996-09-18","1996-08-30","3","229.24","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany","35","100","14.4","0"
"10286","QUICK-Stop","QUICK","Laura Callahan","8","Tarte au sucre","62","40","39.4","0","1996-09-18","1996-08-30","3","229.24","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany","62","40","39.4","0"
"10287","Ricardo Adocicados","RICAR","Laura Callahan","8","Pavlova","16","40","13.9","0.15","1996-09-19","1996-08-28","3","12.76","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil","16","40","13.9","0.15"
"10287","Ricardo Adocicados","RICAR","Laura Callahan","8","Sasquatch Ale","34","20","11.2","0","1996-09-19","1996-08-28","3","12.76","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil","34","20","11.2","0"
"10287","Ricardo Adocicados","RICAR","Laura Callahan","8","Spegesild","46","15","9.6","0.15","1996-09-19","1996-08-28","3","12.76","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil","46","15","9.6","0.15"
"10288","Reggiani Caseifici","REGGC","Margaret Peacock","4","Tourtière","54","10","5.9","0.1","1996-09-20","1996-09-03","1","7.45","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italy","54","10","5.9","0.1"
"10288","Reggiani Caseifici","REGGC","Margaret Peacock","4","Scottish Longbreads","68","3","10","0.1","1996-09-20","1996-09-03","1","7.45","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italy","68","3","10","0.1"
"10289","B's Beverages","BSBEV","Robert King","7","Aniseed Syrup","3","30","8","0","1996-09-23","1996-08-28","3","22.77","B's Beverages","Fauntleroy Circus","London","","EC2 5NT","UK","3","30","8","0"
"10289","B's Beverages","BSBEV","Robert King","7","Wimmers gute Semmelknödel","64","9","26.6","0","1996-09-23","1996-08-28","3","22.77","B's Beverages","Fauntleroy Circus","London","","EC2 5NT","UK","64","9","26.6","0"
"10290","Comércio Mineiro","COMMI","Laura Callahan","8","Chef Anton's Gumbo Mix","5","20","17","0","1996-09-24","1996-09-03","1","79.7","Comércio Mineiro","Av. dos Lusíadas, 23","Sao Paulo","SP","05432-043","Brazil","5","20","17","0"
"10475","Suprêmes délices","SUPRD","Anne Dodsworth","9","Louisiana Hot Spiced Okra","66","60","13.6","0.15","1997-04-11","1997-04-04","1","68.52","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgium","66","60","13.6","0.15"
"10475","Suprêmes délices","SUPRD","Anne Dodsworth","9","Lakkalikööri","76","42","14.4","0.15","1997-04-11","1997-04-04","1","68.52","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgium","76","42","14.4","0.15"
"10825","Drachenblut Delikatessen","DRACD","Nancy Davolio","1","Perth Pasties","53","20","32.8","0","1998-02-06","1998-01-14","1","79.25","Drachenblut Delikatessen","Walserweg 21","Aachen","","52066","Germany","53","20","32.8","0"
"10826","Blondesddsl père et fils","BLONP","Michael Suyama","6","Gorgonzola Telino","31","35","12.5","0","1998-02-09","1998-02-06","1","7.09","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France","31","35","12.5","0"
"10926","Ana Trujillo Emparedados y helados","ANATR","Margaret Peacock","4","Queso Cabrales","11","2","21","0","1998-04-01","1998-03-11","3","39.92","Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.","","05021","Mexico","11","2","21","0"
"10353","Piccolo und mehr","PICCO","Robert King","7","Queso Cabrales","11","12","16.8","0.2","1996-12-11","1996-11-25","3","360.63","Piccolo und mehr","Geislweg 14","Salzburg","","5020","Austria","11","12","16.8","0.2"
"10353","Piccolo und mehr","PICCO","Robert King","7","Côte de Blaye","38","50","210.8","0.2","1996-12-11","1996-11-25","3","360.63","Piccolo und mehr","Geislweg 14","Salzburg","","5020","Austria","38","50","210.8","0.2"
"10354","Pericles Comidas clásicas","PERIC","Laura Callahan","8","Chai","1","12","14.4","0","1996-12-12","1996-11-20","3","53.8","Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.","","05033","Mexico","1","12","14.4","0"
"10354","Pericles Comidas clásicas","PERIC","Laura Callahan","8","Thüringer Rostbratwurst","29","4","99","0","1996-12-12","1996-11-20","3","53.8","Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.","","05033","Mexico","29","4","99","0"
"10355","Around the Horn","AROUT","Michael Suyama","6","Guaraná Fantástica","24","25","3.6","0","1996-12-13","1996-11-20","1","41.95","Around the Horn","Brook Farm Stratford St. Mary","Colchester","Essex","CO7 6JX","UK","24","25","3.6","0"
"10355","Around the Horn","AROUT","Michael Suyama","6","Ravioli Angelo","57","25","15.6","0","1996-12-13","1996-11-20","1","41.95","Around the Horn","Brook Farm Stratford St. Mary","Colchester","Essex","CO7 6JX","UK","57","25","15.6","0"
"10356","Die Wandernde Kuh","WANDK","Michael Suyama","6","Gorgonzola Telino","31","30","10","0","1996-12-16","1996-11-27","2","36.71","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Germany","31","30","10","0"
"10356","Die Wandernde Kuh","WANDK","Michael Suyama","6","Pâté chinois","55","12","19.2","0","1996-12-16","1996-11-27","2","36.71","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Germany","55","12","19.2","0"
"10356","Die Wandernde Kuh","WANDK","Michael Suyama","6","Gudbrandsdalsost","69","20","28.8","0","1996-12-16","1996-11-27","2","36.71","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Germany","69","20","28.8","0"
"10357","LILA-Supermercado","LILAS","Nancy Davolio","1","Ikura","10","30","24.8","0.2","1996-12-17","1996-12-02","3","34.88","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela","10","30","24.8","0.2"
"10357","LILA-Supermercado","LILAS","Nancy Davolio","1","Gumbär Gummibärchen","26","16","24.9","0","1996-12-17","1996-12-02","3","34.88","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela","26","16","24.9","0"
"10357","LILA-Supermercado","LILAS","Nancy Davolio","1","Camembert Pierrot","60","8","27.2","0.2","1996-12-17","1996-12-02","3","34.88","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela","60","8","27.2","0.2"
"10358","La maison d'Asie","LAMAI","Steven Buchanan","5","Guaraná Fantástica","24","10","3.6","0.05","1996-12-18","1996-11-27","1","19.64","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse","","31000","France","24","10","3.6","0.05"
"10251","Victuailles en stock","VICTE","Janet Leverling","3","Gustaf's Knäckebröd","22","6","16.8","0.05","1996-08-05","1996-07-15","1","41.34","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France","22","6","16.8","0.05"
"10251","Victuailles en stock","VICTE","Janet Leverling","3","Ravioli Angelo","57","15","15.6","0.05","1996-08-05","1996-07-15","1","41.34","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France","57","15","15.6","0.05"
"10251","Victuailles en stock","VICTE","Janet Leverling","3","Louisiana Fiery Hot Pepper Sauce","65","20","16.8","0","1996-08-05","1996-07-15","1","41.34","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France","65","20","16.8","0"
"10252","Suprêmes délices","SUPRD","Margaret Peacock","4","Sir Rodney's Marmalade","20","40","64.8","0.05","1996-08-06","1996-07-11","2","51.3","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgium","20","40","64.8","0.05"
"10252","Suprêmes délices","SUPRD","Margaret Peacock","4","Geitost","33","25","2","0.05","1996-08-06","1996-07-11","2","51.3","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgium","33","25","2","0.05"
"10252","Suprêmes délices","SUPRD","Margaret Peacock","4","Camembert Pierrot","60","40","27.2","0","1996-08-06","1996-07-11","2","51.3","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgium","60","40","27.2","0"
"10253","Hanari Carnes","HANAR","Janet Leverling","3","Gorgonzola Telino","31","20","10","0","1996-07-24","1996-07-16","2","58.17","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brazil","31","20","10","0"
"10253","Hanari Carnes","HANAR","Janet Leverling","3","Chartreuse verte","39","42","14.4","0","1996-07-24","1996-07-16","2","58.17","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brazil","39","42","14.4","0"
"10253","Hanari Carnes","HANAR","Janet Leverling","3","Maxilaku","49","40","16","0","1996-07-24","1996-07-16","2","58.17","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brazil","49","40","16","0"
"10254","Chop-suey Chinese","CHOPS","Steven Buchanan","5","Guaraná Fantástica","24","15","3.6","0.15","1996-08-08","1996-07-23","2","22.98","Chop-suey Chinese","Hauptstr. 31","Bern","","3012","Switzerland","24","15","3.6","0.15"
"10254","Chop-suey Chinese","CHOPS","Steven Buchanan","5","Pâté chinois","55","21","19.2","0.15","1996-08-08","1996-07-23","2","22.98","Chop-suey Chinese","Hauptstr. 31","Bern","","3012","Switzerland","55","21","19.2","0.15"
"10254","Chop-suey Chinese","CHOPS","Steven Buchanan","5","Longlife Tofu","74","21","8","0","1996-08-08","1996-07-23","2","22.98","Chop-suey Chinese","Hauptstr. 31","Bern","","3012","Switzerland","74","21","8","0"
"10255","Richter Supermarkt","RICSU","Anne Dodsworth","9","Chang","2","20","15.2","0","1996-08-09","1996-07-15","3","148.33","Richter Supermarkt","Starenweg 5","Genève","","1204","Switzerland","2","20","15.2","0"
"10255","Richter Supermarkt","RICSU","Anne Dodsworth","9","Pavlova","16","35","13.9","0","1996-08-09","1996-07-15","3","148.33","Richter Supermarkt","Starenweg 5","Genève","","1204","Switzerland","16","35","13.9","0"
"10290","Comércio Mineiro","COMMI","Laura Callahan","8","Thüringer Rostbratwurst","29","15","99","0","1996-09-24","1996-09-03","1","79.7","Comércio Mineiro","Av. dos Lusíadas, 23","Sao Paulo","SP","05432-043","Brazil","29","15","99","0"
"10290","Comércio Mineiro","COMMI","Laura Callahan","8","Maxilaku","49","15","16","0","1996-09-24","1996-09-03","1","79.7","Comércio Mineiro","Av. dos Lusíadas, 23","Sao Paulo","SP","05432-043","Brazil","49","15","16","0"
"10290","Comércio Mineiro","COMMI","Laura Callahan","8","Original Frankfurter grüne Soße","77","10","10.4","0","1996-09-24","1996-09-03","1","79.7","Comércio Mineiro","Av. dos Lusíadas, 23","Sao Paulo","SP","05432-043","Brazil","77","10","10.4","0"
"10291","Que Delícia","QUEDE","Michael Suyama","6","Konbu","13","20","4.8","0.1","1996-09-24","1996-09-04","2","6.4","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil","13","20","4.8","0.1"
"10291","Que Delícia","QUEDE","Michael Suyama","6","Gula Malacca","44","24","15.5","0.1","1996-09-24","1996-09-04","2","6.4","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil","44","24","15.5","0.1"
"10291","Que Delícia","QUEDE","Michael Suyama","6","Manjimup Dried Apples","51","2","42.4","0.1","1996-09-24","1996-09-04","2","6.4","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil","51","2","42.4","0.1"
"10292","Tradição Hipermercados","TRADH","Nancy Davolio","1","Sir Rodney's Marmalade","20","20","64.8","0","1996-09-25","1996-09-02","2","1.35","Tradiçao Hipermercados","Av. Inês de Castro, 414","Sao Paulo","SP","05634-030","Brazil","20","20","64.8","0"
"10293","Tortuga Restaurante","TORTU","Nancy Davolio","1","Carnarvon Tigers","18","12","50","0","1996-09-26","1996-09-11","3","21.18","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico","18","12","50","0"
"10293","Tortuga Restaurante","TORTU","Nancy Davolio","1","Guaraná Fantástica","24","10","3.6","0","1996-09-26","1996-09-11","3","21.18","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico","24","10","3.6","0"
"10293","Tortuga Restaurante","TORTU","Nancy Davolio","1","Vegie-spread","63","5","35.1","0","1996-09-26","1996-09-11","3","21.18","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico","63","5","35.1","0"
"10293","Tortuga Restaurante","TORTU","Nancy Davolio","1","Rhönbräu Klosterbier","75","6","6.2","0","1996-09-26","1996-09-11","3","21.18","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico","75","6","6.2","0"
"10294","Rattlesnake Canyon Grocery","RATTC","Margaret Peacock","4","Chai","1","18","14.4","0","1996-09-27","1996-09-05","2","147.26","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","1","18","14.4","0"
"10294","Rattlesnake Canyon Grocery","RATTC","Margaret Peacock","4","Alice Mutton","17","15","31.2","0","1996-09-27","1996-09-05","2","147.26","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","17","15","31.2","0"
"10294","Rattlesnake Canyon Grocery","RATTC","Margaret Peacock","4","Ipoh Coffee","43","15","36.8","0","1996-09-27","1996-09-05","2","147.26","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","43","15","36.8","0"
"10294","Rattlesnake Canyon Grocery","RATTC","Margaret Peacock","4","Camembert Pierrot","60","21","27.2","0","1996-09-27","1996-09-05","2","147.26","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","60","21","27.2","0"
"10294","Rattlesnake Canyon Grocery","RATTC","Margaret Peacock","4","Rhönbräu Klosterbier","75","6","6.2","0","1996-09-27","1996-09-05","2","147.26","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","75","6","6.2","0"
"10295","Vins et alcools Chevalier","VINET","Andrew Fuller","2","Gnocchi di nonna Alice","56","4","30.4","0","1996-09-30","1996-09-10","2","1.15","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","","51100","France","56","4","30.4","0"
"10296","LILA-Supermercado","LILAS","Michael Suyama","6","Queso Cabrales","11","12","16.8","0","1996-10-01","1996-09-11","1","0.12","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela","11","12","16.8","0"
"10296","LILA-Supermercado","LILAS","Michael Suyama","6","Pavlova","16","30","13.9","0","1996-10-01","1996-09-11","1","0.12","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela","16","30","13.9","0"
"10296","LILA-Supermercado","LILAS","Michael Suyama","6","Gudbrandsdalsost","69","15","28.8","0","1996-10-01","1996-09-11","1","0.12","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela","69","15","28.8","0"
"10297","Blondesddsl père et fils","BLONP","Steven Buchanan","5","Chartreuse verte","39","60","14.4","0","1996-10-16","1996-09-10","2","5.74","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France","39","60","14.4","0"
"10297","Blondesddsl père et fils","BLONP","Steven Buchanan","5","Mozzarella di Giovanni","72","20","27.8","0","1996-10-16","1996-09-10","2","5.74","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France","72","20","27.8","0"
"10298","Hungry Owl All-Night Grocers","HUNGO","Michael Suyama","6","Chang","2","40","15.2","0","1996-10-03","1996-09-11","2","168.22","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland","2","40","15.2","0"
"10270","Wartian Herkku","WARTH","Nancy Davolio","1","Inlagd Sill","36","30","15.2","0","1996-08-29","1996-08-02","1","136.54","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland","36","30","15.2","0"
"10270","Wartian Herkku","WARTH","Nancy Davolio","1","Ipoh Coffee","43","25","36.8","0","1996-08-29","1996-08-02","1","136.54","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland","43","25","36.8","0"
"10271","Split Rail Beer & Ale","SPLIR","Michael Suyama","6","Geitost","33","24","2","0","1996-08-29","1996-08-30","2","4.54","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA","33","24","2","0"
"10272","Rattlesnake Canyon Grocery","RATTC","Michael Suyama","6","Sir Rodney's Marmalade","20","6","64.8","0","1996-08-30","1996-08-06","2","98.03","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","20","6","64.8","0"
"10272","Rattlesnake Canyon Grocery","RATTC","Michael Suyama","6","Gorgonzola Telino","31","40","10","0","1996-08-30","1996-08-06","2","98.03","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","31","40","10","0"
"10272","Rattlesnake Canyon Grocery","RATTC","Michael Suyama","6","Mozzarella di Giovanni","72","24","27.8","0","1996-08-30","1996-08-06","2","98.03","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","72","24","27.8","0"
"10273","QUICK-Stop","QUICK","Janet Leverling","3","Ikura","10","24","24.8","0.05","1996-09-02","1996-08-12","3","76.07","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany","10","24","24.8","0.05"
"10273","QUICK-Stop","QUICK","Janet Leverling","3","Gorgonzola Telino","31","15","10","0.05","1996-09-02","1996-08-12","3","76.07","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany","31","15","10","0.05"
"10273","QUICK-Stop","QUICK","Janet Leverling","3","Geitost","33","20","2","0","1996-09-02","1996-08-12","3","76.07","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany","33","20","2","0"
"10273","QUICK-Stop","QUICK","Janet Leverling","3","Boston Crab Meat","40","60","14.7","0.05","1996-09-02","1996-08-12","3","76.07","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany","40","60","14.7","0.05"
"10273","QUICK-Stop","QUICK","Janet Leverling","3","Lakkalikööri","76","33","14.4","0.05","1996-09-02","1996-08-12","3","76.07","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany","76","33","14.4","0.05"
"10274","Vins et alcools Chevalier","VINET","Michael Suyama","6","Flotemysost","71","20","17.2","0","1996-09-03","1996-08-16","1","6.01","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","","51100","France","71","20","17.2","0"
"10274","Vins et alcools Chevalier","VINET","Michael Suyama","6","Mozzarella di Giovanni","72","7","27.8","0","1996-09-03","1996-08-16","1","6.01","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","","51100","France","72","7","27.8","0"
"10275","Magazzini Alimentari Riuniti","MAGAA","Nancy Davolio","1","Guaraná Fantástica","24","12","3.6","0.05","1996-09-04","1996-08-09","1","26.93","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italy","24","12","3.6","0.05"
"10275","Magazzini Alimentari Riuniti","MAGAA","Nancy Davolio","1","Raclette Courdavault","59","6","44","0.05","1996-09-04","1996-08-09","1","26.93","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italy","59","6","44","0.05"
"10276","Tortuga Restaurante","TORTU","Laura Callahan","8","Ikura","10","15","24.8","0","1996-08-22","1996-08-14","3","13.84","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico","10","15","24.8","0"
"10276","Tortuga Restaurante","TORTU","Laura Callahan","8","Konbu","13","10","4.8","0","1996-08-22","1996-08-14","3","13.84","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico","13","10","4.8","0"
"10277","Morgenstern Gesundkost","MORGK","Andrew Fuller","2","Rössle Sauerkraut","28","20","36.4","0","1996-09-06","1996-08-13","3","125.77","Morgenstern Gesundkost","Heerstr. 22","Leipzig","","04179","Germany","28","20","36.4","0"
"10277","Morgenstern Gesundkost","MORGK","Andrew Fuller","2","Tarte au sucre","62","12","39.4","0","1996-09-06","1996-08-13","3","125.77","Morgenstern Gesundkost","Heerstr. 22","Leipzig","","04179","Germany","62","12","39.4","0"
"10278","Berglunds snabbköp","BERGS","Laura Callahan","8","Gula Malacca","44","16","15.5","0","1996-09-09","1996-08-16","2","92.69","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden","44","16","15.5","0"
"10278","Berglunds snabbköp","BERGS","Laura Callahan","8","Raclette Courdavault","59","15","44","0","1996-09-09","1996-08-16","2","92.69","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden","59","15","44","0"
"10278","Berglunds snabbköp","BERGS","Laura Callahan","8","Vegie-spread","63","8","35.1","0","1996-09-09","1996-08-16","2","92.69","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden","63","8","35.1","0"
"10278","Berglunds snabbköp","BERGS","Laura Callahan","8","Röd Kaviar","73","25","12","0","1996-09-09","1996-08-16","2","92.69","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden","73","25","12","0"
"10279","Lehmanns Marktstand","LEHMS","Laura Callahan","8","Alice Mutton","17","15","31.2","0.25","1996-09-10","1996-08-16","2","25.83","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Germany","17","15","31.2","0.25"
"10280","Berglunds snabbköp","BERGS","Andrew Fuller","2","Guaraná Fantástica","24","12","3.6","0","1996-09-11","1996-09-12","1","8.98","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden","24","12","3.6","0"
"10280","Berglunds snabbköp","BERGS","Andrew Fuller","2","Pâté chinois","55","20","19.2","0","1996-09-11","1996-09-12","1","8.98","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden","55","20","19.2","0"
"10280","Berglunds snabbköp","BERGS","Andrew Fuller","2","Rhönbräu Klosterbier","75","30","6.2","0","1996-09-11","1996-09-12","1","8.98","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden","75","30","6.2","0"
"10281","Romero y tomillo","ROMEY","Margaret Peacock","4","Teatime Chocolate Biscuits","19","1","7.3","0","1996-08-28","1996-08-21","1","2.94","Romero y tomillo","Gran Vía, 1","Madrid","","28001","Spain","19","1","7.3","0"
"10281","Romero y tomillo","ROMEY","Margaret Peacock","4","Guaraná Fantástica","24","6","3.6","0","1996-08-28","1996-08-21","1","2.94","Romero y tomillo","Gran Vía, 1","Madrid","","28001","Spain","24","6","3.6","0"
"10281","Romero y tomillo","ROMEY","Margaret Peacock","4","Steeleye Stout","35","4","14.4","0","1996-08-28","1996-08-21","1","2.94","Romero y tomillo","Gran Vía, 1","Madrid","","28001","Spain","35","4","14.4","0"
"10282","Romero y tomillo","ROMEY","Margaret Peacock","4","Nord-Ost Matjeshering","30","6","20.7","0","1996-09-12","1996-08-21","1","12.69","Romero y tomillo","Gran Vía, 1","Madrid","","28001","Spain","30","6","20.7","0"
"10282","Romero y tomillo","ROMEY","Margaret Peacock","4","Ravioli Angelo","57","2","15.6","0","1996-09-12","1996-08-21","1","12.69","Romero y tomillo","Gran Vía, 1","Madrid","","28001","Spain","57","2","15.6","0"
"10283","LILA-Supermercado","LILAS","Janet Leverling","3","Genen Shouyu","15","20","12.4","0","1996-09-13","1996-08-23","3","84.81","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela","15","20","12.4","0"
"10283","LILA-Supermercado","LILAS","Janet Leverling","3","Teatime Chocolate Biscuits","19","18","7.3","0","1996-09-13","1996-08-23","3","84.81","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela","19","18","7.3","0"
"10283","LILA-Supermercado","LILAS","Janet Leverling","3","Camembert Pierrot","60","35","27.2","0","1996-09-13","1996-08-23","3","84.81","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela","60","35","27.2","0"
